Actual Quotuents for Party List Seat Allocation,,,,,,,,,,,,,,
Party Quotients,,,,,,,,,,,,,,
Divisor,National Party,Seat No.,Labour Party,Seat No.,Green Party,Seat No.,ACT New Zealand,Seat No.,Maori Party,Seat No.,Jim Anderton's Progressive,Seat No.,United Future,Seat No.
79,13334.1519,83,10087.08861,109,1995.10127,0,1082.22785,0,708.60759,0,268.87342,0,259.4557,0
81,13004.91358,85,9838.02469,112,1945.83951,0,1055.50617,0,691.11111,0,262.23457,0,253.04938,0
83,12691.54217,86,9600.96386,114,1898.95181,0,1030.07229,0,674.45783,0,255.91566,0,246.95181,0
85,12392.91765,88,9375.05882,117,1854.27059,0,1005.83529,0,658.58824,0,249.89412,0,241.14118,0
87,12108.02299,92,9159.54023,0,1811.64368,0,982.71264,0,643.44828,0,244.14943,0,235.5977,0
89,11835.93258,94,8953.70787,0,1770.93258,0,960.62921,0,628.98876,0,238.66292,0,230.30337,0
91,11575.8022,95,8756.92308,0,1732.01099,0,939.51648,0,615.16484,0,233.41758,0,225.24176,0
93,11326.86022,97,8568.60215,0,1694.76344,0,919.31183,0,601.93548,0,228.39785,0,220.39785,0
95,11088.4,100,8388.21053,0,1659.08421,0,899.95789,0,589.26316,0,223.58947,0,215.75789,0
97,10859.7732,102,8215.25773,0,1624.87629,0,881.40206,0,577.1134,0,218.97938,0,211.30928,0
99,10640.38384,103,8049.29293,0,1592.05051,0,863.59596,0,565.45455,0,214.55556,0,207.0404,0
101,10429.68317,106,7889.90099,0,1560.52475,0,846.49505,0,554.25743,0,210.30693,0,202.94059,0
103,10227.16505,108,7736.69903,0,1530.2233,0,830.05825,0,543.49515,0,206.2233,0,199,0
105,10032.3619,110,7589.33333,0,1501.07619,0,814.24762,0,533.14286,0,202.29524,0,195.20952,0
107,9844.84112,111,7447.47664,0,1473.01869,0,799.02804,0,523.17757,0,198.51402,0,191.56075,0
109,9664.20183,113,7310.82569,0,1445.99083,0,784.36697,0,513.57798,0,194.87156,0,188.04587,0
111,9490.07207,116,7179.0991,0,1419.93694,0,770.23423,0,504.32432,0,191.36036,0,184.65766,0
113,9322.10619,118,7052.0354,0,1394.80531,0,756.60177,0,495.39823,0,187.97345,0,181.38938,0
115,9159.98261,120,6929.3913,0,1370.54783,0,743.44348,0,486.78261,0,184.70435,0,178.23478,0
117,9003.40171,0,6810.94017,0,1347.11966,0,730.73504,0,478.46154,0,181.54701,0,175.18803,0
Number of Party Votes,1053398,,796880,,157613,,85496,,55980,,21241,,20497,
Percentage,48.08,,36.37,,7.19,,3.90,,2.55,,0.97,,0.94,
Electorate Seats,41,,21,,0,,1,,5,,1,,1,
List Seats,17,,22,,9,,4,,0,,0,,0,
Total seats,58,,43,,9,,5,,5,,1,,1,
