Winning Electorate Candidate Votes,,,,,,
Electoral District,Electorate Candidate,Party,Valid Votes,Majority,Percentage of Elected Candidate Votes cast in Electorate,On the Party List
Ōtaki,"COSTLEY, Timothy John",National Party,22145,6271,50.97%,Yes
Pakuranga,"BROWN, Simeon Peter",National Party,26105,18710,72.47%,Yes
Palmerston North,"UTIKERE, Tangi William Edward",Labour Party,15339,3087,43.81%,Yes
Panmure-Ōtāhuhu,"SALESA, Jennifer",Labour Party,15358,7970,53.11%,Yes
Papakura,"COLLINS, Judith Anne",National Party,24109,13519,58.72%,Yes
Rangitata,"MEAGER, James Rawiri",National Party,22792,10846,56.97%,Yes
Rangitīkei,"REDMAYNE, Susan (Suze) Emma Dossor",National Party,18945,9785,46.96%,Yes
Remutaka,"HIPKINS, Christopher John",Labour Party,22344,8859,54.24%,Yes
Rongotai,"GENTER, Julie Anne",Green Party,16586,2717,39.49%,Yes
Rotorua,"McCLAY, Todd Michael",National Party,19339,8923,53.98%,Yes
Selwyn,"GRIGG, Nicola Anna",National Party,31504,19782,66.22%,Yes
Southland,"MOONEY, Joseph",National Party,23231,17211,59.56%,Yes
Taieri,"LEARY, Ingrid",Labour Party,16579,1443,39.86%,Yes
Takanini,"NAKHLE, Rima Jillian",National Party,21936,8775,57.92%,Yes
Tāmaki,"VAN VELDEN, Brooke",ACT New Zealand,17858,4158,43.65%,Yes
Taranaki-King Country,"KURIGER, Barbara Joan",National Party,24760,14355,62.68%,Yes
Taupō,"UPSTON, Louise",National Party,24858,16505,57.83%,Yes
Tauranga,"UFFINDELL, Samuel Julian",National Party,18980,9370,46.36%,Yes
Te Atatū,"TWYFORD, Philip Stoner",Labour Party,14202,131,39.41%,Yes
Tukituki,"WEDD, Catherine",National Party,21981,10118,54.17%,Yes
Upper Harbour,"BREWER, Cameron Eric",National Party,21498,11192,53.50%,Yes
Waikato,"VAN DE MOLEN, Timothy John",National Party,27445,18548,65.51%,Yes
Waimakariri,"DOOCEY, Matthew Maurice",National Party,26816,13010,58.25%,Yes
Wairarapa,"BUTTERICK, Michael",National Party,20313,2816,46.11%,Yes
Waitaki,"ANDERSON, Miles John",National Party,22675,12151,51.79%,Yes
Wellington Central,"PAUL, Tamatha-Kaye Erin",Green Party,18439,6066,40.82%,No
West Coast-Tasman,"PUGH, Maureen Helena",National Party,13317,1017,32.02%,Yes
Whanganui,"BATES, Carl Michael",National Party,18484,5512,47.73%,Yes
Whangaparāoa,"MITCHELL, Mark",National Party,30742,23376,66.46%,Yes
Whangārei,"RETI, Shane Raymond",National Party,20843,11424,48.78%,Yes
Wigram,"WOODS, Megan Cherie",Labour Party,15590,1179,42.16%,Yes
Hauraki-Waikato,"MAIPI-CLARKE, Hana-Rawhiti",Māori Party,12939,2911,53.50%,Yes
Ikaroa-Rāwhiti,"TANGAERE-MANUEL, Cushla",Labour Party,13747,2874,54.11%,No
Tāmaki Makaurau,"KEMP, Takutai Tarsh",Māori Party,10068,42,40.07%,Yes
Te Tai Hauāuru,"NGAREWA-PACKER, Debbie Anne",Māori Party,16288,9162,63.79%,Yes
Te Tai Tokerau,"KAPA-KINGI, Mariameno",Māori Party,10428,517,38.78%,Yes
Te Tai Tonga,"FERRIS, Tākuta",Māori Party,12828,2824,48.41%,Yes
Waiariki,"WAITITI, Rawiri",Māori Party,21500,15891,76.31%,Yes
