Winning Electorate Candidate Votes
Electoral District,Electorate Candidate,Party,Valid Votes,Majority,Percentage of Elected Candidate Votes cast in Electorate,On the Party List
Rongotai,"EAGLE, Tahere Paul",Labour Party,25926,19207,58.11%,Yes
Rotorua,"McCLAY, Todd Michael",National Party,16212,825,43.29%,Yes
Selwyn,"GRIGG, Nicola Anna",National Party,20986,4968,49.55%,Yes
Southland,"MOONEY, Joseph",National Party,19975,5645,51.54%,Yes
Taieri,"LEARY, Ingrid Marieke",Labour Party,25263,12398,57.19%,Yes
Takanini,"ASI TUIATAGA LEAVASA, Neru",Labour Party,19431,7724,55.74%,Yes
Tāmaki,"O'CONNOR, Simon",National Party,21471,8068,52.74%,Yes
Taranaki-King Country,"KURIGER, Barbara Joan",National Party,18702,3134,47.15%,Yes
Taupō,"UPSTON, Louise Claire",National Party,21102,5119,48.90%,Yes
Tauranga,"BRIDGES, Simon",National Party,18721,1856,43.47%,Yes
Te Atatū,"TWYFORD, Philip Stoner",Labour Party,21253,10508,57.57%,Yes
Tukituki,"LORCK, Anna Louise",Labour Party,19132,1590,46.32%,No
Upper Harbour,"WALTERS, Vanushi",Labour Party,17573,2392,44.80%,Yes
Waikato,"VAN DE MOLEN, Timothy John",National Party,20877,5216,51.97%,Yes
Waimakariri,"DOOCEY, Matthew Maurice",National Party,21416,1507,46.73%,Yes
Wairarapa,"McANULTY, Kieran Michael",Labour Party,22042,6545,49.65%,Yes
Waitaki,"DEAN, Jacqueline Isobel",National Party,19659,3281,45.16%,Yes
Wellington Central,"ROBERTSON, Grant Murray",Labour Party,27366,18878,57.73%,Yes
West Coast-Tasman,"O'CONNOR, Damien Peter",Labour Party,20753,6208,48.46%,Yes
Whanganui,"LEWIS CARR, Stephanie",Labour Party,22299,8191,55.73%,Yes
Whangaparāoa,"MITCHELL, Mark Patrick",National Party,23822,7823,53.26%,Yes
Whangārei,"HENDERSON, Lorenza Emily Preston",Labour Party,17823,431,40.81%,Yes
Wigram,"WOODS, Megan Cherie",Labour Party,24186,14770,63.45%,Yes
Hauraki-Waikato,"MAHUTA, Nanaia Cybele",Labour Party,15885,9660,68.01%,Yes
Ikaroa-Rāwhiti,"WHAITIRI, Melissa Heni Mekameka",Labour Party,13642,6045,55.57%,Yes
Tāmaki Makaurau,"HENARE, Peeni Ereatara Gladwyn",Labour Party,10256,927,40.99%,Yes
Te Tai Hauāuru,"RURAWHE, Adrian Paki",Labour Party,12160,1053,48.73%,Yes
Te Tai Tokerau,"DAVIS, Kelvin",Labour Party,14932,8164,56.77%,Yes
Te Tai Tonga,"TIRIKATENE, Rino",Labour Party,14277,6855,50.40%,Yes
Waiariki,"WAITITI, Rawiri Wikuki",Māori Party,12389,836,46.78%,Yes
