Part VII - Summary of Electorate Candidate Votes by Party,,,,,,,,,,,,,,,,,
Electorate,ACT,,Green Party,,Labour Party,,National Party,,NZ First,,United Future,,Progressive Coalition,,Others,,Total Valid Votes
Piako,1393,4.66,1239,4.15,10164,34.01,11785,39.44,3302,11.05,1031,3.45,313,1.05,654,2.19,29881
Port Waikato,1526,5,1812,5.93,7980,26.13,13952,45.69,3506,11.48,1006,3.29,213,0.7,543,1.78,30538
Rakaia,898,2.84,1579,5,9794,30.98,15870,50.21,0,0,1832,5.8,563,1.78,1073,3.39,31609
Rangitikei,586,1.99,0,0,10444,35.45,15759,53.49,0,0,1223,4.15,373,1.27,1078,3.66,29463
Rimutaka,1168,3.71,1267,4.03,18688,59.41,6073,19.31,0,0,1957,6.22,412,1.31,1892,6.01,31457
Rodney,1373,4.27,3119,9.7,8162,25.38,12728,39.58,3981,12.38,1844,5.73,266,0.83,682,2.12,32155
Rongotai,1076,3.34,3442,10.68,18096,56.15,6603,20.49,0,0,1601,4.97,346,1.07,1065,3.3,32229
Rotorua,0,0,1078,3.85,14380,51.4,6636,23.72,2595,9.28,1490,5.33,194,0.69,1604,5.73,27977
Tamaki,4577,14.09,1380,4.25,10264,31.59,11471,35.31,2161,6.65,1570,4.83,405,1.25,663,2.04,32491
Taranaki-King Country,1715,6.27,1461,5.34,6821,24.95,13996,51.18,0,0,1269,4.64,635,2.32,1447,5.29,27344
Taupo,1062,3.98,1359,5.09,14851,55.62,7723,28.92,0,0,871,3.26,261,0.98,574,2.15,26701
Tauranga,300,0.92,870,2.67,6783,20.84,5312,16.32,17145,52.67,1647,5.06,129,0.4,364,1.12,32550
Te Atatu,875,3.27,0,0,16821,62.92,3889,14.55,1811,6.77,1540,5.76,365,1.37,1435,5.37,26736
Tukituki,1618,5.16,1355,4.32,16288,51.91,9878,31.48,0,0,0,0,300,0.96,1941,6.19,31380
Waimakariri,475,1.41,952,2.84,17571,52.33,7035,20.95,5615,16.72,802,2.39,583,1.74,547,1.63,33580
Wairarapa,625,2.04,861,2.81,13572,44.26,7200,23.48,1552,5.06,617,2.01,223,0.73,6011,19.6,30661
Waitakere,650,2.41,1154,4.29,9756,36.23,5295,19.66,1249,4.64,802,2.98,218,0.81,7803,28.98,26927
Wellington Central,2824,7.78,4736,13.05,14906,41.06,10725,29.54,577,1.59,938,2.58,0,0,1598,4.4,36304
West Coast-Tasman,567,1.91,2380,8,16020,53.83,8298,27.88,0,0,1105,3.71,294,0.99,1098,3.69,29762
Whanganui,0,0,1362,4.47,14135,46.37,12065,39.58,0,0,729,2.39,564,1.85,1631,5.35,30486
Whangarei,1297,4.06,1180,3.69,10615,33.2,13829,43.25,3774,11.8,268,0.84,156,0.49,857,2.68,31976
Wigram,685,2.18,1681,5.35,8030,25.57,6560,20.89,0,0,1376,4.38,11206,35.68,1869,5.95,31407
General Electorate Totals,70888,3.75,104716,5.54,825140,43.64,602289,31.85,79380,4.2,89763,4.75,35289,1.87,83482,4.41,1890947
Ikaroa-Rawhiti,0,0,0,0,11192,78.06,672,4.69,0,0,0,0,183,1.28,2291,15.98,14338
Tainui,0,0,0,0,7098,48.94,639,4.41,0,0,460,3.17,396,2.73,5911,40.75,14504
Tamaki Makaurau,0,0,2001,12.82,11445,73.35,785,5.03,0,0,0,0,351,2.25,1022,6.55,15604
Te Tai Hauauru,0,0,0,0,10002,71.36,991,7.07,0,0,705,5.03,0,0,2319,16.54,14017
Te Tai Tokerau,0,0,0,0,7868,50.4,1018,6.52,0,0,0,0,428,2.74,6296,40.33,15610
Te Tai Tonga,0,0,0,0,9760,63.17,1708,11.06,0,0,704,4.56,0,0,3278,21.22,15450
Waiariki,0,0,0,0,9361,61.93,1356,8.97,0,0,852,5.64,0,0,3547,23.47,15116
"Maori Electorate Totals, Including Tangata Whenua Votes",0,0,2001,1.91,66726,63.77,7169,6.85,0,0,2721,2.6,1358,1.3,24664,23.57,104639
Combined Totals,70888,3.55,106717,5.35,891866,44.69,609458,30.54,79380,3.98,92484,4.63,36647,1.84,108146,5.42,1995586
