Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,,Green Party,,Jim Anderton's Progressive,,Labour Party,,Maori Party,,National Party,,New Zealand First Party,,United Future New Zealand,,Others,,Total Valid Votes
Northland,216,0.71,2764,9.02,0,0,7302,23.84,550,1.8,16577,54.12,2547,8.32,315,1.03,357,1.17,30628
Ohariu-Belmont,744,2.03,1877,5.12,242,0.66,9142,24.91,0,0,7329,19.97,433,1.18,16844,45.91,82,0.22,36693
Otago,848,2.34,1596,4.4,270,0.74,15369,42.35,0,0,17364,47.85,0,0,620,1.71,221,0.61,36288
Otaki,163,0.42,1022,2.66,303,0.79,17556,45.76,353,0.92,17174,44.76,1043,2.72,611,1.59,144,0.38,38369
Pakuranga,1216,3.43,0,0,560,1.58,9577,27.01,0,0,19159,54.03,1398,3.94,833,2.35,2717,7.66,35460
Palmerston North,0,0,1141,3.56,251,0.78,17263,53.87,0,0,11763,36.71,853,2.66,627,1.96,147,0.46,32045
Piako,495,1.46,1028,3.03,273,0.81,10259,30.29,237,0.7,18610,54.94,2219,6.55,509,1.5,244,0.72,33874
Port Waikato,544,1.53,0,0,279,0.79,9118,25.66,402,1.13,22616,63.65,1703,4.79,403,1.13,465,1.31,35530
Rakaia,1209,3.33,1631,4.5,796,2.2,10502,28.96,0,0,20950,57.78,0,0,1172,3.23,0,0,36260
Rangitikei,215,0.68,0,0,0,0,9459,29.89,369,1.17,19119,60.42,1335,4.22,718,2.27,426,1.35,31641
Rimutaka,380,1.11,1243,3.64,0,0,18681,54.74,0,0,10404,30.49,1094,3.21,1777,5.21,549,1.61,34128
Rodney,450,1.21,1918,5.16,332,0.89,9115,24.53,166,0.45,20651,55.57,3496,9.41,997,2.68,36,0.1,37161
Rongotai,425,1.18,2921,8.11,333,0.93,21376,59.38,499,1.39,8738,24.27,0,0,1581,4.39,127,0.35,36000
Rotorua,378,1.24,1131,3.71,0,0,12420,40.77,0,0,11758,38.6,2055,6.75,2119,6.96,604,1.98,30465
Tamaki,1258,3.48,0,0,950,2.63,11446,31.68,0,0,20956,58,973,2.69,504,1.39,45,0.12,36132
Taranaki-King Country,547,1.77,0,0,510,1.65,7749,25.11,0,0,20867,67.62,0,0,568,1.84,620,2.01,30861
Taupo,275,0.95,751,2.59,167,0.58,13211,45.5,501,1.73,11926,41.07,1337,4.6,598,2.06,271,0.93,29037
Tauranga,61,0.17,853,2.36,164,0.45,4020,11.14,0,0,15020,41.62,14290,39.59,1323,3.67,360,1,36091
Te Atatu,524,1.72,849,2.79,226,0.74,18087,59.37,250,0.82,7640,25.08,1016,3.34,897,2.94,974,3.2,30463
Tukituki,456,1.3,1171,3.35,0,0,14837,42.44,541,1.55,17239,49.31,0,0,670,1.92,49,0.14,34963
Waimakariri,196,0.5,832,2.12,458,1.17,19084,48.61,0,0,13478,34.33,4247,10.82,651,1.66,312,0.79,39258
Wairarapa,314,0.98,1141,3.56,0,0,10929,34.12,293,0.91,13681,42.71,5308,16.57,364,1.14,0,0,32030
Waitakere,416,1.33,1709,5.44,293,0.93,15325,48.81,272,0.87,10383,33.07,1354,4.31,1035,3.3,609,1.94,31396
Wellington Central,1254,3.08,3737,9.19,173,0.43,20199,49.67,0,0,14019,34.47,0,0,593,1.46,691,1.7,40666
West Coast-Tasman,251,0.79,1526,4.8,358,1.12,15178,47.69,0,0,13024,40.93,0,0,658,2.07,829,2.6,31824
Whanganui,0,0,1171,3.64,371,1.15,13444,41.81,429,1.33,15846,49.28,0,0,502,1.56,389,1.21,32152
Whangarei,1067,3.04,1240,3.53,311,0.89,9811,27.93,384,1.09,18900,53.81,2983,8.49,168,0.48,258,0.73,35122
Wigram,203,0.61,1455,4.34,15961,47.62,6408,19.12,0,0,7413,22.12,912,2.72,988,2.95,179,0.53,33519
General Electorate Totals,44071,2.09,89868,4.27,35933,1.71,846507,40.18,12082,0.57,902874,42.86,78117,3.71,63486,3.01,33642,1.6,2106580
Ikaroa-Rawhiti,0,0,0,0,0,0,9502,53.73,7570,42.8,0,0,0,0,0,0,614,3.47,17686
Tainui,0,0,0,0,0,0,9469,52.68,7609,42.33,0,0,0,0,0,0,897,4.99,17975
Tamaki Makaurau,0,0,0,0,0,0,7897,41.24,10024,52.35,0,0,0,0,0,0,1226,6.4,19147
Te Tai Hauauru,0,0,0,0,0,0,5809,33.49,10922,62.98,0,0,0,0,0,0,612,3.53,17343
Te Tai Tokerau,0,0,0,0,0,0,6352,33.41,9965,52.41,0,0,0,0,0,0,2695,14.18,19012
Te Tai Tonga,0,0,2296,12.03,705,3.69,9015,47.23,6512,34.12,0,0,0,0,0,0,559,2.93,19087
Waiariki,0,0,0,0,0,0,7521,39.5,10392,54.58,0,0,0,0,0,0,1126,5.91,19039
"Maori Electorate Totals, Including Tangata Whenua Votes",0,0,2296,1.78,705,0.55,55565,42.98,62994,48.72,0,0,0,0,0,0,7729,5.98,129289
Combined Totals,44071,1.97,92164,4.12,36638,1.64,902072,40.35,75076,3.36,902874,40.38,78117,3.49,63486,2.84,41371,1.85,2235869
